Performing system checks...

System check identified no issues (0 silenced).
/usr/local/lib/python3.10/dist-packages/whitenoise/base.py:109: UserWarning: No directory at: /home/web/sempregreen/staticfiles/
  warnings.warn(f"No directory at: {root}")
August 02, 2023 - 00:31:46
Django version 4.2, using settings 'sempregreen.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

[02/Aug/2023 00:32:45] "GET /dashboard HTTP/1.0" 200 56127
[02/Aug/2023 00:32:45] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 00:32:45] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 00:32:46] "GET /odds HTTP/1.0" 200 1359486
[02/Aug/2023 00:32:57] "GET /dashboard HTTP/1.0" 200 56127
[02/Aug/2023 00:32:58] "GET /odds HTTP/1.0" 200 1359486
[02/Aug/2023 00:41:57] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 00:45:11] "GET / HTTP/1.0" 302 0
[02/Aug/2023 00:45:11] "GET /dashboard HTTP/1.0" 200 56082
[02/Aug/2023 00:45:12] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 00:45:12] "GET /odds HTTP/1.0" 200 55148
[02/Aug/2023 00:45:12] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 00:45:12] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 00:45:23] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 00:45:24] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 00:45:24] "GET /odds HTTP/1.0" 200 55148
[02/Aug/2023 00:46:10] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 00:46:10] "GET /dashboard HTTP/1.0" 200 56110
[02/Aug/2023 00:46:10] "GET /odds HTTP/1.0" 200 98811
[02/Aug/2023 00:47:05] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 00:47:05] "GET /dashboard HTTP/1.0" 200 56110
[02/Aug/2023 00:47:06] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 00:47:06] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 00:47:06] "GET /odds HTTP/1.0" 200 98811
[02/Aug/2023 00:48:31] "GET / HTTP/1.0" 302 0
[02/Aug/2023 00:48:31] "GET /dashboard HTTP/1.0" 200 56127
[02/Aug/2023 00:48:32] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 00:48:32] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 00:48:32] "GET /odds HTTP/1.0" 200 1359486
[02/Aug/2023 00:48:54] "GET /calc/kJvyQJCdREU/1xBet/VBet HTTP/1.0" 200 41347
[02/Aug/2023 00:48:54] "GET /static/js HTTP/1.0" 304 0
[02/Aug/2023 00:48:54] "GET /static/logo-riscozero.png HTTP/1.0" 304 0
[02/Aug/2023 00:48:54] "GET /static/app-base-f3fc6be3261b2fab9abc0f065db5730eacd9bd433fa7c9a1716ab338b343100f.css HTTP/1.0" 304 0
[02/Aug/2023 00:48:55] "GET /static/application-2297659ed3e1301563b184adae007e911d7e5da19eaf8bde0f9c421e7617da26.js HTTP/1.0" 304 0
[02/Aug/2023 00:48:55] "GET /assets/fa/fa-regular-400-5f9d60dfa847591e27ebc1b76f6ed87529dbc57382055b8a170cff951013a5fa.woff2 HTTP/1.0" 404 179
[02/Aug/2023 00:48:55] "GET /assets/fa/fa-solid-900-556213d68f2f3386a34135c07ea432d252682ac7deecc5eb9c9c23a194e83415.woff2 HTTP/1.0" 404 179
[02/Aug/2023 00:48:55] "GET /assets/fa/fa-solid-900-2e40b782d64fad84425e72a3bac5100258b34f81be4ce4fa67c01341a518ed84.woff HTTP/1.0" 404 179
[02/Aug/2023 00:48:55] "GET /assets/fa/fa-regular-400-b6aa358482b93fae5bc03c264f4cdf5372aeb4bd6d0214e4ba7e697bf3501ff0.woff HTTP/1.0" 404 179
[02/Aug/2023 00:48:56] "GET /assets/fa/fa-solid-900-7af6adf2dfbabbffec323524576778f4e3ea6f27d348b8fc6c644e033476c1b8.ttf HTTP/1.0" 404 179
[02/Aug/2023 00:48:56] "GET /assets/fa/fa-regular-400-1b0575debccdaafaea70531e1611993c11aed44b87161184b18e8ff4f34639f2.ttf HTTP/1.0" 404 179
[02/Aug/2023 00:49:17] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 00:49:17] "GET /dashboard HTTP/1.0" 200 56110
[02/Aug/2023 00:49:19] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 00:49:19] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 00:49:19] "GET /odds HTTP/1.0" 200 98811
[02/Aug/2023 00:50:46] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 00:50:46] "GET /dashboard HTTP/1.0" 200 56110
[02/Aug/2023 00:50:47] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 00:50:47] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 00:50:47] "GET /odds HTTP/1.0" 200 98811
[02/Aug/2023 00:50:55] "GET / HTTP/1.0" 302 0
[02/Aug/2023 00:50:55] "GET /dashboard HTTP/1.0" 200 56110
[02/Aug/2023 00:50:56] "GET /odds HTTP/1.0" 200 98811
[02/Aug/2023 00:50:59] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 00:51:00] "GET /dashboard HTTP/1.0" 200 56110
[02/Aug/2023 00:51:00] "GET /odds HTTP/1.0" 200 98811
[02/Aug/2023 00:51:26] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 00:51:26] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 00:51:27] "GET /static/logo-riscozero.png HTTP/1.0" 200 175679
[02/Aug/2023 00:51:28] "GET /robots.txt HTTP/1.0" 404 179
[02/Aug/2023 00:51:28] "GET /sitemap.xml HTTP/1.0" 404 179
[02/Aug/2023 01:07:11] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 01:07:44] "GET / HTTP/1.0" 302 0
